"tag","StemTag","sp","quadrat","gx","gy","dbh","hom","s14","s15","s16","s17","s18main","s18","s19","s20","status.2021","dendroband","above_50cm_dbh","oak","small_non_oak_no_dendro_random","cored_dead"
72202,1,"quve","0721",137.5,410.7,574,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
72230,1,"qual","0722",134.6,423.3,420,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
60026,1,"qupr","0602",112.2,27.1,168,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
60024,1,"amar","0602",112.1,25.5,122,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,0,0
62244,1,"cagl","0623",112.6,448.4,103,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
62320,1,"cagl","0626",117.7,517.2,227,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
52258,1,"cagl","0524",81.8,474.4,148,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,1,0
32506,1,"litu","0331",46.6,610.1,131,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
42347,1,"qual","0426",63.9,517.6,367,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
42248,1,"quve","0424",60.5,462.5,794,"1.3","A","A","A","AU","A","A","AU","AU","DS",0,1,1,0,0
30453,1,"acru","0313",57.9,252.8,142,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
30610,1,"fram","0316",57.5,308.7,242,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
32323,1,"cagl","0325",53.2,495,258,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
20182,1,"acru","0203",21.4,56.1,381,"1.3","A","A","A","A","A","A","A","AU","DC",0,0,0,0,0
20540,1,"frni","0206",20.6,117.8,114,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
20537,1,"havi","0206",25.8,120,131,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,0,0
20544,1,"quru","0207",23.2,123.4,113,"1.3","A",NA,NA,NA,"A",NA,"A","A","DC",0,0,1,0,0
10527,1,"caca","0107",0.1,128.2,139,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
10443,1,"caca","0107",18.2,136.3,144,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
92029,1,"quru","0917",171.5,334,594,"1.3","A","A","A","A","A","A","A","A","DS",0,1,1,0,0
20661,1,"qual","0210",33.2,193.6,724,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
10251,1,"fram","0105",10.9,98.9,109,"1.3","A","A","AU","AU","A","AU","AU","AU","PD",0,0,0,0,0
20602,1,"qual","0208",27.8,151.8,343,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
20593,1,"frni","0208",38.4,144.2,164,"1.3","A","A","A","A","A","AU","AU","AU","PD",0,0,0,0,0
